No arquivo ../../jsminer-out/joi.csv, encontradas 105 linhas
No arquivo ../../jsminer-out/joint.csv, encontradas 103 linhas
No arquivo ../../jsminer-out/jqgrid.csv, encontradas 121 linhas
No arquivo ../../jsminer-out/jquery.csv, encontradas 113 linhas
No arquivo ../../jsminer-out/jquery.ime.csv, encontradas 77 linhas
No arquivo ../../jsminer-out/js-beautify.csv, encontradas 101 linhas
No arquivo ../../jsminer-out/jsdoc.csv, encontradas 91 linhas
No arquivo ../../jsminer-out/jsxgraph.csv, encontradas 125 linhas
No arquivo ../../jsminer-out/katello.csv, encontradas 136 linhas
No arquivo ../../jsminer-out/leaflet.csv, encontradas 125 linhas
No arquivo ../../jsminer-out/learngitbranching.csv, encontradas 105 linhas
No arquivo ../../jsminer-out/less.js.csv, encontradas 84 linhas
No arquivo ../../jsminer-out/log4js-node.csv, encontradas 100 linhas
No arquivo ../../jsminer-out/mailvelope.csv, encontradas 82 linhas
No arquivo ../../jsminer-out/mediaelement.csv, encontradas 88 linhas
No arquivo ../../jsminer-out/mediawiki-extensions-mobilefrontend.csv, encontradas 146 linhas
No arquivo ../../jsminer-out/mediawiki-extensions-uploadwizard.csv, encontradas 136 linhas
No arquivo ../../jsminer-out/mediawiki-extensions-visualeditor.csv, encontradas 140 linhas
No arquivo ../../jsminer-out/melonjs.csv, encontradas 121 linhas
No arquivo ../../jsminer-out/meteor.csv, encontradas 137 linhas
No arquivo ../../jsminer-out/mineflayer.csv, encontradas 88 linhas
No arquivo ../../jsminer-out/misago.csv, encontradas 88 linhas
No arquivo ../../jsminer-out/mockup.csv, encontradas 104 linhas
No arquivo ../../jsminer-out/modernizr.csv, encontradas 96 linhas
No arquivo ../../jsminer-out/mongoose.csv, encontradas 138 linhas
No arquivo ../../jsminer-out/monster-ui.csv, encontradas 115 linhas
No arquivo ../../jsminer-out/moodle-qtype_coderunner.csv, encontradas 100 linhas
No arquivo ../../jsminer-out/natural.csv, encontradas 85 linhas
No arquivo ../../jsminer-out/nock.csv, encontradas 101 linhas
No arquivo ../../jsminer-out/node-db-migrate.csv, encontradas 75 linhas
No arquivo ../../jsminer-out/node-postgres.csv, encontradas 104 linhas
No arquivo ../../jsminer-out/nodemailer.csv, encontradas 95 linhas
No arquivo ../../jsminer-out/nodemon.csv, encontradas 90 linhas
No arquivo ../../jsminer-out/novnc.csv, encontradas 106 linhas
No arquivo ../../jsminer-out/ns_server.csv, encontradas 135 linhas
No arquivo ../../jsminer-out/numbas.csv, encontradas 117 linhas
No arquivo ../../jsminer-out/nunaliit.csv, encontradas 102 linhas
No arquivo ../../jsminer-out/nutzmore.csv, encontradas 74 linhas
No arquivo ../../jsminer-out/nw.js.csv, encontradas 127 linhas
No arquivo ../../jsminer-out/opal.csv, encontradas 116 linhas
No arquivo ../../jsminer-out/openlayers.csv, encontradas 137 linhas
No arquivo ../../jsminer-out/openpgpjs.csv, encontradas 105 linhas
No arquivo ../../jsminer-out/oskari-frontend.csv, encontradas 127 linhas
No arquivo ../../jsminer-out/pastvu.csv, encontradas 84 linhas
No arquivo ../../jsminer-out/pdf.js.csv, encontradas 137 linhas
No arquivo ../../jsminer-out/pentaho-platform-plugin-common-ui.csv, encontradas 107 linhas
No arquivo ../../jsminer-out/phantomas.csv, encontradas 93 linhas
No arquivo ../../jsminer-out/plugins.csv, encontradas 103 linhas
No arquivo ../../jsminer-out/popclip-extensions.csv, encontradas 95 linhas
No arquivo ../../jsminer-out/pouchdb.csv, encontradas 114 linhas
No arquivo ../../jsminer-out/pusher-js.csv, encontradas 84 linhas
No arquivo ../../jsminer-out/qunit.csv, encontradas 105 linhas
No arquivo ../../jsminer-out/reddit-enhancement-suite.csv, encontradas 117 linhas
No arquivo ../../jsminer-out/respec.csv, encontradas 120 linhas
No arquivo ../../jsminer-out/ringojs.csv, encontradas 80 linhas
No arquivo ../../jsminer-out/rollbar.js.csv, encontradas 95 linhas
No arquivo ../../jsminer-out/sails.csv, encontradas 111 linhas
No arquivo ../../jsminer-out/sceditor.csv, encontradas 67 linhas
No arquivo ../../jsminer-out/sefaria-project.csv, encontradas 137 linhas
No arquivo ../../jsminer-out/semanticresultformats.csv, encontradas 119 linhas
No arquivo ../../jsminer-out/seneca.csv, encontradas 91 linhas
No arquivo ../../jsminer-out/sequelize.csv, encontradas 130 linhas
No arquivo ../../jsminer-out/shiny-server.csv, encontradas 78 linhas
No arquivo ../../jsminer-out/singlefile.csv, encontradas 60 linhas
No arquivo ../../jsminer-out/sinon.csv, encontradas 111 linhas
No arquivo ../../jsminer-out/sitespeed.io.csv, encontradas 124 linhas
No arquivo ../../jsminer-out/splunk-sdk-javascript.csv, encontradas 66 linhas
No arquivo ../../jsminer-out/step.csv, encontradas 84 linhas
No arquivo ../../jsminer-out/stylus.csv, encontradas 87 linhas
No arquivo ../../jsminer-out/sunspot.csv, encontradas 71 linhas
No arquivo ../../jsminer-out/superagent.csv, encontradas 98 linhas
No arquivo ../../jsminer-out/swagger-js.csv, encontradas 116 linhas
No arquivo ../../jsminer-out/swagger-ui.csv, encontradas 121 linhas
No arquivo ../../jsminer-out/swiper.csv, encontradas 112 linhas
No arquivo ../../jsminer-out/synapsewebclient.csv, encontradas 135 linhas
No arquivo ../../jsminer-out/testem.csv, encontradas 109 linhas
No arquivo ../../jsminer-out/three.js.csv, encontradas 139 linhas
No arquivo ../../jsminer-out/tiddlywiki5.csv, encontradas 131 linhas
No arquivo ../../jsminer-out/traccar-web.csv, encontradas 83 linhas
No arquivo ../../jsminer-out/translators.csv, encontradas 130 linhas
No arquivo ../../jsminer-out/travis-web.csv, encontradas 118 linhas
No arquivo ../../jsminer-out/treestyletab.csv, encontradas 118 linhas
No arquivo ../../jsminer-out/two.js.csv, encontradas 93 linhas
No arquivo ../../jsminer-out/ui-grid.csv, encontradas 95 linhas
No arquivo ../../jsminer-out/validator.js.csv, encontradas 105 linhas
No arquivo ../../jsminer-out/veda.csv, encontradas 119 linhas
No arquivo ../../jsminer-out/vellum.csv, encontradas 101 linhas
No arquivo ../../jsminer-out/video.js.csv, encontradas 121 linhas
No arquivo ../../jsminer-out/visualizer.csv, encontradas 104 linhas
No arquivo ../../jsminer-out/w2ui.csv, encontradas 107 linhas
No arquivo ../../jsminer-out/wdntemplates.csv, encontradas 123 linhas
No arquivo ../../jsminer-out/webappdirac.csv, encontradas 94 linhas
No arquivo ../../jsminer-out/webgme.csv, encontradas 94 linhas
No arquivo ../../jsminer-out/webpack-dev-middleware.csv, encontradas 90 linhas
No arquivo ../../jsminer-out/webpack.csv, encontradas 126 linhas
No arquivo ../../jsminer-out/wegas.csv, encontradas 134 linhas
No arquivo ../../jsminer-out/winston.csv, encontradas 83 linhas
No arquivo ../../jsminer-out/wolnelektury.csv, encontradas 102 linhas
No arquivo ../../jsminer-out/wordpress-seo.csv, encontradas 123 linhas
No arquivo ../../jsminer-out/wulin_master.csv, encontradas 87 linhas
No arquivo ../../jsminer-out/yelp.csv, encontradas 98 linhas
No arquivo ../../jsminer-out/zip.js.csv, encontradas 46 linhas
No arquivo ../../jsminer-out/zotero-connectors.csv, encontradas 99 linhas
